SKU, TYPE, CATEGORY, SUBCATEGORY, NAME, DESCRIPTION, MRP, DISCOUNTRATE, TAXRATE, SHIPPINGCHARGES, STOCKLEVEL, ISREDUCESTOCK, ISACTIVE, ATTA, AUTHOR, BRAND, COLOR, DALDA, FLOUR, GRIHASTHI, OIL, PUBLISHER, PULSE, RICE, STYLE,,
sr0001,Grocery,Salt & Sugar,,Tata Salt 1kg,"<div class='product-attributes__attr'><div class='product-attributes__attr--name'>&nbsp;</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Tata White Salt is pure and white salt, manufactured using vacuum evaporation technology. This salt contains requisite amount of Iodine that ensures proper mental development of children and also prevents iodine deficiency disorders in adults. Just add it to make your dishes delectable and wholesome.</div></div>",18,5.56,0,0,100,1,1, , , tata, , , , , , , , , ,,
sr0002,Grocery,Atta & Other Flours,,Aashirvaad Shudh Chakki Whole Wheat Atta 5kgs,"<p>Made from the choicest grains, Aashirvaad Whole Wheat Atta is 100% sampoorna atta with zero maida, grounded carefully using traditional chakki -grinding process. Golden amber in colour, it is rich in essential vitamins, contains extra fibre that makes food easier to digest and extra proteins that strengthens body. A wholesome flour that makes soft and fluffy rotis with a whole lot of health.</p><p>&nbsp;</p><p>&nbsp;</p><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Key Features</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Made from the choicest grains<br />Grounded carefully using traditional chakki-grinding process<br />Golden amber in colour<br />0% maida, 100% atta<br />Makes soft and fluffy rotis with a whole lot of health<br />Rich in essential vitamins</div><div class='product-attributes__attr--description'>&nbsp;</div><div class='product-attributes__attr--description'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Unit</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'><strong>5 kg</strong></div><div class='product-attributes__attr--description'>&nbsp;</div><div class='product-attributes__attr--description'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Disclaimer</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>&nbsp;</div></div></div></div></div></div>",170,8.82,0,0,100,1,1,155, ,"itc,aashirwaad", , , , , , , , , ,,
sr0003,Grocery,Edible Oils,,Fortune Soyabean Oil (Pouch) 1ltr,"<div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Description</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Rich in omega 3, Fortune Soya Health Refined Soyabean Edible Oil is neutral in taste that makes it ideal for baking. It's healthy, light and odourless and is ideal for deep frying as well.</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>Key Features</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Rich in omega 3<br />Ideal for baking</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>Ingredients</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Refined Soyabean Oil, Permitted Antioxidant (E 319)</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>Contents</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Fortune Soya Health Refined Soyabean Edible Oil (Pouch) - 1 lt</div><div class='product-attributes__attr--description'>&nbsp;</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Unit</strong></div><div class='product-attributes__attr--name'>&nbsp;</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>1 lt</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>&nbsp;</div><div class='product-attributes__attr--name'>&nbsp;</div><div class='product-attributes__attr--name'><strong>Packaging Type</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Pouch</div><div class='product-attributes__attr--description'>&nbsp;</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Disclaimer</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",105,12.38,0,0,100,1,1, , , , , , , , , , , , ,,
SR0004,Grocery,Spices,,Catch Turmeric Powder/Haldi 100gm,"<div class='product-attributes' data-reactid='226'><div class='product-attributes__attr' data-reactid='230'><div class='product-attributes__attr--description' data-reactid='231'>Catch Turmeric Powder is processed using state-of-art grinding techniques. Turmeric is notable for its pronounced yellow colour and therapeutic properties. When added to vegetables, curries and lentils, it imparts a bright yellow colour with a subtle flavour and aroma.</div><div class='product-attributes__attr--description' data-reactid='231'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='231'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='232'><div class='product-attributes__attr' data-reactid='233'><div class='product-attributes__attr--name' data-reactid='234'><strong><span data-reactid='235'>Key Features</span></strong></div></div><div class='product-attributes__attr' data-reactid='236'><div class='product-attributes__attr--description' data-reactid='237'>Adds colour and flavour<br />Therapeutic properties<br />Low temperature grinding</div><div class='product-attributes__attr--description' data-reactid='237'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='237'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='237'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='238'><div class='product-attributes__attr' data-reactid='239'><div class='product-attributes__attr--name' data-reactid='240'><strong><span data-reactid='241'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='242'><div class='product-attributes__attr--description' data-reactid='243'>200 gm</div></div></div><div class='product-attributes' data-reactid='244'><div class='product-attributes__attr' data-reactid='245'><div class='product-attributes__attr--name' data-reactid='246'><span data-reactid='247'>Other Language Name</span></div></div><div class='product-attributes__attr' data-reactid='248'><div class='product-attributes__attr--description' data-reactid='249'>Haldi</div><div class='product-attributes__attr--description' data-reactid='249'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='249'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='249'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='250'><div class='product-attributes__attr' data-reactid='251'><div class='product-attributes__attr--name' data-reactid='252'><strong><span data-reactid='253'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='254'><div class='product-attributes__attr--description' data-reactid='255'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented</div></div></div>",28,25,0,0,100,0,1, , , , , , , , , , , , ,,
sr0005,Grocery,Pulses,,Kabuli Chana 1kg,"<div class='product-attributes' data-reactid='198'><div class='product-attributes__attr' data-reactid='199'><div class='product-attributes__attr--name' data-reactid='200'><strong><span data-reactid='201'>Key Features</span></strong></div></div><div class='product-attributes__attr' data-reactid='202'><div class='product-attributes__attr--description' data-reactid='203'>Rich source of protein and dietary fibre<br />A versatile Indian kitchen ingredient having nutty texture and chewy flavour<br />Healthy and naturally tasty<br />Useful in preparing a variety of scrumptious dishes such as Falafel and Hummus</div><div class='product-attributes__attr--description' data-reactid='203'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='204'><div class='product-attributes__attr' data-reactid='205'><div class='product-attributes__attr--name' data-reactid='206'><strong><span data-reactid='207'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='208'><div class='product-attributes__attr--description' data-reactid='209'>1 kg</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='210'><div class='product-attributes__attr' data-reactid='211'><div class='product-attributes__attr--name' data-reactid='212'><strong><span data-reactid='213'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='214'><div class='product-attributes__attr--description' data-reactid='215'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",149,22.82,0,0,100,0,1, , , , , , , , , , , , ,,
sr0006,Grocery,Pulses,,Masoor Dal 1Kg,"<div class='product-attributes' data-reactid='207'><div class='product-attributes__attr' data-reactid='208'><div class='product-attributes__attr--name' data-reactid='209'><strong><span data-reactid='210'>Key Features</span></strong></div></div><div class='product-attributes__attr' data-reactid='211'><div class='product-attributes__attr--description' data-reactid='212'>Nutritionally rich in protein, iron and fibre<br />Naturally tasty and healthy<br />Obtains a rich, creamy texture on cooking<br />Used in preparation of hearty masoor tadka etc.</div><div class='product-attributes__attr--description' data-reactid='212'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='213'><div class='product-attributes__attr' data-reactid='214'><div class='product-attributes__attr--name' data-reactid='215'><strong><span data-reactid='216'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='217'><div class='product-attributes__attr--description' data-reactid='218'>1 kg</div><div class='product-attributes__attr--description' data-reactid='218'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='219'><div class='product-attributes__attr' data-reactid='220'><div class='product-attributes__attr--name' data-reactid='221'><strong><span data-reactid='222'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='223'><div class='product-attributes__attr--description' data-reactid='224'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",90,33.33,0,0,100,0,1, , , , , , , , , , , , ,,
sr0007,Grocery,Pulses,,Chana Dal 1kg,"<div class='product-attributes' data-reactid='198'><div class='product-attributes__attr' data-reactid='199'><div class='product-attributes__attr--name' data-reactid='200'><strong><span data-reactid='201'>Key Features</span></strong></div></div><div class='product-attributes__attr' data-reactid='202'><div class='product-attributes__attr--description' data-reactid='203'>Pure and natural premium-quality graded grains&nbsp;<br />Enriched with the goodness of protein and essential nutrients<br />Easily digestible and extremely healthy for diabetics<br />Rich source of dietary fibre&nbsp;<br />Ideal to prepare a variety of cuisines like salads, curries, soups, dal preparations, sweets and also few rice dishes</div><div class='product-attributes__attr--description' data-reactid='203'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='203'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='204'><div class='product-attributes__attr' data-reactid='205'><div class='product-attributes__attr--name' data-reactid='206'><strong><span data-reactid='207'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='208'><div class='product-attributes__attr--description' data-reactid='209'>1 kg</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='210'><div class='product-attributes__attr' data-reactid='211'><div class='product-attributes__attr--name' data-reactid='212'><strong><span data-reactid='213'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='214'><div class='product-attributes__attr--description' data-reactid='215'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",90,16.67,0,0,100,0,1, , , , , , , , , , , , ,,
sr0008,Grocery,Pulses,,Dhuli Moong Dal 1Kg,"<div class='product-attributes' data-reactid='198'><div class='product-attributes__attr' data-reactid='199'><div class='product-attributes__attr--name' data-reactid='200'><strong><span data-reactid='201'>Key Features</span></strong></div></div><div class='product-attributes__attr' data-reactid='202'><div class='product-attributes__attr--description' data-reactid='203'>Rich source of protein and dietary fibre<br />A versatile Indian kitchen ingredient having nutty texture and chewy flavour<br />Healthy and naturally tasty<br />Useful in preparing a variety of scrumptious dishes such as Falafel and Hummus</div><div class='product-attributes__attr--description' data-reactid='203'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='204'><div class='product-attributes__attr' data-reactid='205'><div class='product-attributes__attr--name' data-reactid='206'><strong><span data-reactid='207'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='208'><div class='product-attributes__attr--description' data-reactid='209'>1 kg</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='210'><div class='product-attributes__attr' data-reactid='211'><div class='product-attributes__attr--name' data-reactid='212'><strong><span data-reactid='213'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='214'><div class='product-attributes__attr--description' data-reactid='215'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",90,16.67,0,0,100,0,1, , , , , , , , , , , , ,,
sr0009,Grocery,Pulses,,Arhar Dal/Toor Dal 1Kg,"<div class='product-attributes' data-reactid='198'><div class='product-attributes__attr' data-reactid='199'><div class='product-attributes__attr--name' data-reactid='200'><strong><span data-reactid='201'>Key Features</span></strong></div></div><div class='product-attributes__attr' data-reactid='202'><div class='product-attributes__attr--description' data-reactid='203'>Rich source of protein and dietary fibre<br />A versatile Indian kitchen ingredient having nutty texture and chewy flavour<br />Healthy and naturally tasty<br />Useful in preparing a variety of scrumptious dishes such as Falafel and Hummus</div><div class='product-attributes__attr--description' data-reactid='203'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='204'><div class='product-attributes__attr' data-reactid='205'><div class='product-attributes__attr--name' data-reactid='206'><strong><span data-reactid='207'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='208'><div class='product-attributes__attr--description' data-reactid='209'>1 kg</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='210'><div class='product-attributes__attr' data-reactid='211'><div class='product-attributes__attr--name' data-reactid='212'><strong><span data-reactid='213'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='214'><div class='product-attributes__attr--description' data-reactid='215'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",90,22.22,0,0,100,0,1, , , , , , , , , , , , ,,
sr0010,Grocery,Pulses,,Sabut Green Moong Dal 500gms,"<div class='product-attributes' data-reactid='198'><div class='product-attributes__attr' data-reactid='199'><div class='product-attributes__attr--name' data-reactid='200'><strong><span data-reactid='201'>Key Features</span></strong></div></div><div class='product-attributes__attr' data-reactid='202'><div class='product-attributes__attr--description' data-reactid='203'>Rich source of protein and dietary fibre<br />A versatile Indian kitchen ingredient having nutty texture and chewy flavour<br />Healthy and naturally tasty<br />Useful in preparing a variety of scrumptious dishes such as Falafel and Hummus</div><div class='product-attributes__attr--description' data-reactid='203'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='204'><div class='product-attributes__attr' data-reactid='205'><div class='product-attributes__attr--name' data-reactid='206'><strong><span data-reactid='207'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='208'><div class='product-attributes__attr--description' data-reactid='209'>1 kg</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='209'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='210'><div class='product-attributes__attr' data-reactid='211'><div class='product-attributes__attr--name' data-reactid='212'><strong><span data-reactid='213'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='214'><div class='product-attributes__attr--description' data-reactid='215'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",120,64.17,0,0,100,0,1, , , , , , , , , , green moong, , ,,
